Longitude,Latitude,Mean,Standard_Deviation,Max_Precipitation,New_Mean,New_Standard_Deviation,Elevation,Km,a,b,Estimated_FF,Estimated_PMP
71.125,21.625,76.901875,43.34187146,233.52,74.41587302,38.89476044,147,4.090631365,9.02,-0.0035,6.891493132087346,344.9448494464426
71.125,21.875,74.8071875,42.83235895,205.51,72.73253968,39.85304649,187,3.331676547,12.6,-0.0064,7.806297767102621,385.91193532712396
71.125,22.125,76.6875,44.91085535,194.22,74.82190476,42.73467028,260,2.793939779,13.9,-0.0074,7.880578699031331,413.4614323186953
71.125,22.375,74.0303125,40.70003106,173.17,72.45666667,39.04227123,305,2.579597194,13.9,-0.0074,8.037069507540107,387.81576010774336
71.125,22.625,81.34359375,46.64623874,202.16,79.42587302,44.44141596,107,2.761706042,16.2,-0.0092,7.664890141519889,421.98216481698864
71.125,22.875,84.3284375,52.22792501,243.28,81.80539683,48.61735159,68,3.321336887,14.8,-0.0082,7.4122496762907675,444.6923860850919
71.125,23.125,85.5646875,54.91770246,270.43,82.63031746,50.12736347,20,3.746450432,14.8,-0.0082,7.33748942018271,453.3736866227782
71.125,23.375,81.36265625,54.99258076,267.62,78.40619048,50.12766408,2,3.774638476,14.8,-0.0082,7.594720991197311,462.06827887806344
71.125,23.625,90.428125,66.33766775,301.62,87.07587302,61.24812118,3,3.502868706,16.9,-0.0098,6.966535183404496,517.1153161178921
71.125,23.875,96.3621875,73.77347951,357.34,92.21968254,66.56315314,25,3.982989161,18.3,-0.0109,6.401633653149487,522.4751087007669
71.125,24.125,86.0128125,59.05294384,282.13,82.89984127,54.05927859,6,3.685401728,77.7,-0.0252,8.89360413940554,566.7946363413012
71.125,24.375,62.60859375,26.50612222,132.77,61.49492063,25.18629294,5,2.829915444,59.7,-0.0247,12.71649226782331,382.8898931766429
71.125,24.625,76.21078125,40.99748545,200.53,74.23746032,38.18713616,12,3.307201125,10.4,-0.0075,5.872174139443862,300.4522946681736
71.125,24.875,64.16609375,33.46402054,175.85,62.39333333,30.60203313,42,3.707487871,10.4,-0.0075,6.427335733610154,260.85563480757077
71.125,25.125,60.99984375,38.47940742,203.15,58.74349206,34.32689242,108,4.206803988,10.5,-0.0076,6.6046665001019225,287.71752016897665
71.125,25.375,61.42375,45.11625343,234.19,58.68142857,39.83069865,154,4.406364371,9.04,-0.0051,6.608773268369592,324.65580649860476
71.125,25.625,57.0628125,45.17426042,267.3,53.72571429,36.88343422,258,5.790520602,9.04,-0.0051,6.757404256942343,306.2990879088809
71.125,25.875,47.508125,33.9121478,219.33,44.78079365,26.31035443,247,6.634240022,9.04,-0.0051,7.094839841349995,234.17587585000337
71.125,26.125,44.07984375,27.73131051,160.83,42.22666667,23.69471162,278,5.00547697,9.04,-0.0051,7.219978472694901,215.15515156311375
71.125,26.375,44.163125,31.5784997,167.25,42.20936508,27.7259961,270,4.509869887,9.04,-0.0051,7.216912550798089,244.25921423746885
71.125,26.625,43.170625,32.24793908,156.18,41.3768254,29.16337608,285,3.936552966,9.21,-0.0059,7.139074618980531,251.37014297651191
71.125,26.875,43.856875,33.09885373,165.85,41.92047619,29.54566917,216,4.19450726,9.8,-0.0078,6.960830282377863,249.51926367165402
71.125,27.125,43.115625,33.0445533,171.14,41.08349206,29.06858803,154,4.474125396,9.8,-0.0078,7.001192632935047,246.63040936545988
71.125,27.375,40.65484375,30.49839658,150.24,38.91539683,27.40936474,148,4.061553568,9.8,-0.0078,7.136872137776488,236.2719752770593
71.125,27.625,39.05328125,27.37035891,125.75,37.67714286,25.29480506,112,3.48185554,18.5,-0.0215,7.989476076372678,241.14552113338056
71.375,20.875,83.17890625,34.14595369,205.54,81.23666667,30.7087346,17,4.047816849,13.7,-0.0073,7.464734147850843,312.4114460559087
71.375,21.125,72.26375,39.28060787,214.51,70.00587302,35.23045754,110,4.101681814,13.7,-0.0073,8.08386789471764,357.06211462381907
71.375,21.375,69.7525,39.062093,223.94,67.30507937,34.15721546,101,4.585705203,13.7,-0.0073,8.233429070005258,350.98351071879705
71.375,21.625,71.55390625,39.81640643,220.61,69.18793651,35.38715058,102,4.279012608,12.8,-0.0066,7.982003057497938,354.01425037569993
71.375,21.875,68.824375,40.46298709,201.46,66.71904762,37.14253163,132,3.627672817,12.6,-0.0064,8.110997151978781,370.08734326821184
71.375,22.125,76.5678125,49.50047725,222.46,74.25206349,46.32470694,200,3.199328097,13.9,-0.0074,7.887561520920392,441.9567884278578
71.375,22.375,69.3896875,35.46362569,159.47,67.95984127,33.86423316,174,2.702265789,13.9,-0.0074,8.3178611846842,351.0676780506595
71.375,22.625,83.0690625,54.30821708,263.24,80.20920635,49.72681667,133,3.680726133,16.2,-0.0092,7.54417594251943,458.2169165198882
71.375,22.875,85.31203125,52.02920349,256.98,82.58714286,47.69492427,91,3.656423819,14.8,-0.0082,7.3527068513366665,435.99882770401246
71.375,23.125,85.5146875,53.18639825,264.5,82.67365079,48.55017098,13,3.745122736,14.8,-0.0082,7.340498407645264,441.8971402695953
71.375,23.375,78.62734375,48.89077882,239.14,76.07952381,44.86424993,4,3.634530309,14.8,-0.0082,7.766992020052837,427.0876149419661
71.375,23.625,91.5296875,65.65418989,351.82,87.39809524,57.32721304,8,4.612502348,16.9,-0.0098,6.89173373798442,486.6135757123883
71.375,23.875,89.83671875,64.84138809,396.16,84.97444444,52.51735595,18,5.925385046,18.3,-0.0109,6.873550778464632,450.81743162302666
71.375,24.125,84.27359375,59.78701098,347.83,80.09015873,50.11139928,17,5.342892937,7.77,-0.0025,6.293933166649413,399.6713917056036
71.375,24.375,88.3628125,59.45976311,290.44,85.1552381,54.15824728,3,3.790461697,59.7,-0.0247,6.7313152242841054,452.91904693640726
71.375,24.625,77.295625,42.83765614,201.24,75.32825397,40.20544335,12,3.131708932,10.4,-0.0075,5.824590046240759,311.4758501411068
71.375,24.875,71.35015625,40.50444954,212.37,69.11174603,36.68761547,24,3.90481235,10.4,-0.0075,6.090192158064197,294.78478428346875
71.375,25.125,61.4525,38.21475128,203.69,59.1947619,34.01933632,87,4.247444357,10.5,-0.0076,6.581984246938664,285.36723574954834
71.375,25.375,56.54,41.92700938,210.13,54.10206349,37.48854061,142,4.162016819,9.04,-0.0051,6.775445861420003,310.54157732670024
71.375,25.625,56.611875,46.10271019,264.21,53.31666667,38.26564878,151,5.511296426,9.04,-0.0051,6.772962692192591,315.78368657948494
71.375,25.875,50.17640625,37.91600661,239.96,47.16396825,29.65901022,174,6.500420287,9.04,-0.0051,6.998945553742729,257.75820395767914
71.375,26.125,43.0078125,26.84446035,164.07,41.08619048,22.26511054,212,5.523611001,9.04,-0.0051,7.259560796479823,204.6427361054737
71.375,26.375,42.48546875,28.83836436,167.35,40.50349206,24.36073175,264,5.207007296,9.04,-0.0051,7.278925708306261,219.80542535822755
71.375,26.625,39.8415625,28.04582769,151.15,38.0747619,24.48003812,292,4.619079331,9.21,-0.0059,7.280682672573128,218.07295186421368
71.375,26.875,39.606875,25.91187293,125.68,38.24063492,23.71960236,230,3.686375672,9.8,-0.0078,7.195449128343345,210.28006712591275
71.375,27.125,40.21390625,26.35896756,127.31,38.83142857,24.15582777,174,3.662825065,9.8,-0.0078,7.161460330332309,213.20490857119455
71.375,27.375,36.8615625,23.17368539,112.88,35.65492063,21.2687753,147,3.630913312,9.8,-0.0078,7.351189950710549,193.21236974928075
71.375,27.625,34.759375,21.26511454,98.43,33.74873016,19.84976482,140,3.258540866,15.0,-0.0169,8.3362774149522,200.23252116107872
71.625,21.125,74.915,28.80866102,160.86,73.55079365,26.90733748,64,3.24481032,9.02,-0.0035,6.939584025784349,261.6407293525965
71.625,21.375,68.72390625,38.35532947,202.78,66.59603175,34.70879133,101,3.923615979,13.7,-0.0073,8.295484388777995,356.65014288136797
